shapeName,region,pop
Adenta Municipal,Greater Accra,0.0
Ledzokuku Municipal,Greater Accra,0.0
Chereponi,North East,64667.8352924568
Wa East,Upper West,110119.54516794847
Wa Municipal,Upper West,45243.589879648105
Saboba,Northern,120363.0844055009
Jirapa,Upper West,99147.54714437472
Gushegu,Northern,157205.3480020414
Sissala West,Upper West,79752.47152075038
Nanumba North,Northern,154858.9252403281
Lambussie-karni,Upper West,73320.19029693067
Bolgatanga Municipal,Upper East,157636.60692335485
Nanumba South,Northern,261743.789082615
Wenchi Municipal,Bono,50180.00768108433
Bongo,Upper East,135773.88819842393
Tano South Municipal,Ahafo,97597.79103066449
Kasena Nankana West,Upper East,48808.873912821306
Wa West,Upper West,75356.6389792545
Sunyani Municipal,Bono,131466.37497887202
Sawla-tuna-kalba,Savannah,97308.95619503236
Asante Akim South,Ashanti,137531.30843966824
Sissala East,Upper West,105647.2216702515
Ada East,Greater Accra,118802.5195809118
Shai Osudoku,Greater Accra,149028.46586425728
Kasena Nankana East,Upper East,167411.45444357456
Ada West,Greater Accra,102021.23499134695
Bunkpurugu Nakpanduri,North East,139214.97139923144
Garu,Upper East,66021.48487519733
Ningo/prampram,Greater Accra,74438.27312718402
East Mamprusi,North East,129373.55356227912
La Dade-kotopon,Greater Accra,0.0
Bawku West,Upper East,172808.83186220322
Aowin,Western North,155259.56782295997
Dormaa East,Bono,94734.10070441342
Suaman,Western North,27716.49504874043
Berekum East Municipal,Bono,143537.7877375207
Bia East,Western North,48522.04894404872
Jaman South Municipal,Bono,140573.77529440058
Bia West,Western North,142169.9423480699
Sunyani West,Bono,96493.97818451723
Asunafo North Municipal,Ahafo,179469.74204050412
Bodi,Western North,67708.72289321579
Juaboso,Western North,65472.82012856768
Nkoranza North,Bono East,146898.24104499986
Kintampo South,Bono East,101655.83125310663
Shama,Western,0.0
Tano North Municipal,Ahafo,108515.81962923297
Wassa East,Western,48867.54410346682
Ketu North,Volta,111530.23923055359
Mpohor,Western,199669.18882925546
Wassa Amenfi West,Western,50818.75267728355
Ketu South,Volta,517385.3260833388
Wassa Amenfi Central,Western,97290.20406631262
Keta Municipal,Volta,77608.79920189138
Kadjebi,Oti,68846.99129815052
Mfantseman Municipal,Central,184462.98436835394
South Tongu,Volta,56717.01754747125
Ekumfi,Central,126601.35268967641
Twifo Hemang Lower Denkyira,Central,95907.70820303423
Jasikan,Oti,67646.15093057566
Twifo Atti-morkwa,Central,69870.7879343209
