name,ftype,tier,lat,lon
Agogo Presby Hospital,Hospital,Tier3 provincial hospital,6.79618,-1.08529
Akomaa Memorial Hospital,Hospital,Tier3 provincial hospital,6.43966,-1.53837
Asamang SDA Hospital,Hospital,Tier3 provincial hospital,7.05322,-1.50964
Asokore Ahmadyya Muslem Hospital,Hospital,Tier3 provincial hospital,6.84361,-1.381201
Asonomaso Government District Hospital,District Hospital,Tier3 provincial hospital,6.80162,-1.51374
Bekwai Government District Hospital,District Hospital,Tier3 provincial hospital,6.45605,-1.57857
Dominase SDA Hospital,Hospital,Tier3 provincial hospital,6.3104,-1.3911
Effiduase District Hospital,District Hospital,Tier3 provincial hospital,6.84739,-1.39373
Ejura District Hospital,District Hospital,Tier3 provincial hospital,7.38906,-1.35197
Global Evangelical Mission Hospital,Hospital,Tier3 provincial hospital,6.66903,-1.49298
Juaben Government District Hospital,District Hospital,Tier3 provincial hospital,6.81602,-1.41392
Juaso District Hospital,District Hospital,Tier3 provincial hospital,6.59223,-1.12113
Kokofu General Hospital,General Hospital,Tier4 central hospital,6.49903,-1.52254
Komfo Anokye Teaching Hospital,Teaching Hospital,Tier3 provincial hospital,6.69715,-1.63015
Konongo-Odumasi Government District Hospital,District Hospital,Tier3 provincial hospital,6.62436,-1.21792
Kumasi South Government Regional Hospital,Regional Hospital,Tier3 provincial hospital,6.65252,-1.58471
Kuntenase Government District Hospital,District Hospital,Tier3 provincial hospital,6.53752,-1.47454
Mampong District Hospital,District Hospital,Tier3 provincial hospital,7.04563,-1.40219
Mampong Government Hospital,Hospital,Tier3 provincial hospital,7.056089,-1.398981
Manhyia Government Hospital,Hospital,Tier3 provincial hospital,6.70396,-1.61191
Mankranso Hospital,Hospital,Tier3 provincial hospital,6.82076,-1.86278
Maternal and Child Health Hospital,Hospital,Tier3 provincial hospital,6.69316,-1.62531
Methodist Faith Healing District Hospital,District Hospital,Tier3 provincial hospital,6.84819,-1.54934
New Edubiase District Hospital,District Hospital,Tier3 provincial hospital,6.05456,-1.39281
Nkawie/Toase Hospital,Hospital,Tier3 provincial hospital,6.66632,-1.812262
