Country,Admin1,Facility name,Facility type,Ownership,Lat,Long,LL source,iso3c,facility_type_9,Tier,Tier_name
Ghana,Ashanti,A.M.E Zion Clinic,Clinic,FBO,7.40801,-1.96317,GPS,GHA,Health Clinic,2.0,Tier2 health center
Ghana,Ashanti,Aboabo Health Centre,Health Centre,MoH,6.22393,-1.34982,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Aboabogya Health Centre,Health Centre,MoH,6.84182,-1.61103,Combination,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Aboaboso Community-based Health Planning and Services,Community-based Health Planning and Services,MoH,6.174609,-1.930386,Other,GHA,Community Health Unit,1.0,Tier1 health post
Ghana,Ashanti,Aboaso Health Centre,Health Centre,MoH,6.84177,-1.61098,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Aboffour Health Centre,Health Centre,MoH,7.12986,-1.73294,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Abofour Health Centre,Health Centre,MoH,7.07473,-1.43587,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Abuakwa Madonna Health Centre,Health Centre,MoH,6.700196,-1.719198,Other,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Aburaso Methodist clinic,Clinic,FBO,6.66133,-1.67662,GPS,GHA,Health Clinic,2.0,Tier2 health center
Ghana,Ashanti,Achiase Health Centre,Health Centre,MoH,6.45543,-1.31004,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Adidwan Health Centre,Health Centre,MoH,7.25163,-1.40278,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Adimposo Community-based Health Planning and Services,Community-based Health Planning and Services,MoH,6.33659,-1.92588,GPS,GHA,Community Health Unit,1.0,Tier1 health post
Ghana,Ashanti,Adwumakase Kese Health Centre,Health Centre,MoH,6.80813,-1.53933,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Aframso Health Centre,Health Centre,MoH,7.14472,-1.12162,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Afrancho Health Centre,Health Centre,MoH,6.81527,-1.59589,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Agogo Presby Hospital,Hospital,FBO,6.79618,-1.08529,GPS,GHA,Hospital,3.0,Tier3 provincial hospital
Ghana,Ashanti,Agona Health Centre,Health Centre,MoH,6.93605,-1.49759,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Ahenema kokoben Health Centre,Health Centre,MoH,6.62597,-1.64978,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Ahenkro Health Centre,Health Centre,MoH,6.87155,-1.64009,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Akokuaso Health Centre,Health Centre,MoH,6.85355,-1.33583,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Akomaa Memorial Hospital,Hospital,FBO,6.43966,-1.53837,GPS,GHA,Hospital,3.0,Tier3 provincial hospital
Ghana,Ashanti,Akomadan Health Centre,Health Centre,MoH,7.40581,-1.96072,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Akrofrom Community Clinic,Clinic,MoH,6.39651,-1.60783,GPS,GHA,Health Clinic,2.0,Tier2 health center
Ghana,Ashanti,Akrofrom Health Centre,Health Centre,MoH,6.12385,-1.65387,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Akrokerri Health Centre,Health Centre,MoH,6.29513,-1.63224,GPS,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Akropong Health Centre,Health Centre,MoH,6.741944,-1.729722,Geonames,GHA,Health Centre,2.0,Tier2 health center
Ghana,Ashanti,Akutreso Health Centre,Health Centre,MoH,6.09619,-1.29292,GPS,GHA,Health Centre,2.0,Tier2 health center
