name,type,state,lat,lon
RH Shriwadhan,CHC,MAHARASHTRA,18.25972000037347,73.12620000047536
Eturunagaram,CHC,TELANGANA,18.337811000366653,80.42987000027678
Newasa,CHC,MAHARASHTRA,19.550487999383687,74.92745400075074
Pachod,CHC,MAHARASHTRA,19.572336109989102,75.6265055598754
Loni,CHC,MAHARASHTRA,19.579200000212825,74.46876499996449
NSKMC Swami Samarth Hospital,CHC,MAHARASHTRA,19.580000000192147,73.45999999933636
Khardi,CHC,MAHARASHTRA,19.58229199970443,73.39296300027338
NSKMC Dr Zakir Hussain Hospital,CHC,MAHARASHTRA,19.58999999937912,73.47000000016341
Etapalli,CHC,MAHARASHTRA,19.599950999894137,80.22808999984797
Igatpuri,CHC,MAHARASHTRA,19.635709999889173,73.57099000038609
Nandgaon,CHC,MAHARASHTRA,19.635709999889173,73.57099000038609
Haroti,CHC,RAJASTHAN,26.207350999973787,76.61238799984994
NASIRABAD,CHC,UTTARPRADESH,26.20826800003073,81.52009999984963
BHITARGAON,CHC,UTTARPRADESH,26.21262700029633,80.27702200053523
Fursatganj,CHC,UTTARPRADESH,26.2256480000666,81.09268799984004
PATARA,CHC,UTTARPRADESH,26.23231300014505,80.1939469996158
JATUATAPPA,CHC,UTTARPRADESH,26.253107000260314,81.13662699978647
Shahgarh,CHC,UTTARPRADESH,26.263363000084333,81.76883299981831
jaisinghpur,CHC,UTTARPRADESH,26.28134299985596,82.24823700013938
Sapotara,CHC,RAJASTHAN,26.29145400009463,76.75228999984134
SARSAUL,CHC,UTTARPRADESH,26.294263999324013,80.48309300064967
Peeplu,CHC,RAJASTHAN,26.299306999851822,75.71348199976929
Malpura,CHC,RAJASTHAN,26.30056799998949,75.36966100016483
CHC Kailaras,CHC,MADHYA PRADESH,26.301353330300387,77.61414332953514
Mandrayal,CHC,RAJASTHAN,26.303048999634008,77.23515299999482
AMAWAN,CHC,UTTARPRADESH,26.305027000202635,81.35407299983108
BIDHNOO,CHC,UTTARPRADESH,26.31844500052492,80.27325300018308
CHC AMAYAN,CHC,MADHYA PRADESH,26.322524110163176,78.76042492937611
kurwar,CHC,UTTARPRADESH,26.335773000245304,81.99334800003885
CHC ROUN,CHC,MADHYA PRADESH,26.338550340650038,78.9458525499384
HARCHANDPUR,CHC,UTTARPRADESH,26.353283999697883,81.18069299995449
Newai,CHC,RAJASTHAN,26.359346999600497,75.91836600020325
Musafirkhana,CHC,UTTARPRADESH,26.36256000002717,81.81212599968434
Sikandra,CHC,UTTARPRADESH,26.36679699990595,79.69868500005832
jamon,CHC,UTTARPRADESH,26.36801400012269,81.66420200018835
Magrayar,CHC,UTTARPRADESH,26.37950400065524,80.69818399980329
Tiloi,CHC,UTTARPRADESH,26.39308199995547,81.46978000053878
