county,pop_census_2019
Kiambu,2417735
Kirinyaga,610411
Murang'a,1056640
Nyandarua,638289
Nyeri,759164
Kilifi,1453787
Kwale,866820
Lamu,143920
Mombasa,1208333
Taita Taveta,340671
Tana River,315943
Embu,608599
Isiolo,268002
Kitui,1136187
Machakos,1421932
Makueni,987653
Marsabit,459785
Meru,1545714
Tharaka,393177
Nairobi,4397073
Garissa,841353
Mandera,867457
Wajir,781263
Homa Bay,1131950
Kisii,1266860
Kisumu,1155574
Migori,1116436
Nyamira,605576
Siaya,993183
Baringo,666763
Bomet,875689
Elgeyo-Marakwet,454480
Kajiado,1117840
Kericho,901777
Laikipia,518560
Nakuru,2162202
Nandi,885711
Narok,1157873
Samburu,310327
Trans Nzoia,990341
Turkana,926976
Uasin Gishu,1163186
West Pokot,621241
Bungoma,1670570
Busia,893681
Kakamega,1867579
Vihiga,590013
