Facility name,Facility type,Ownership,Admin1,Lat,Long
Chemolingot District Hospital,District Hospital,MoH,Baringo,0.9862098,35.9712128
Eldama Ravine District Hospital,District Hospital,MoH,Baringo,0.0473,35.7302
Kabarnet District Hospital,District Hospital,MoH,Baringo,0.4926,35.7434
Kabartonjo District Hospital,District Hospital,MoH,Baringo,0.6256654,35.7892075
Marigat Sub District Hospital,Sub-District Hospital,MoH,Baringo,0.4695,35.9798
Mercy Hospital,Mission Hospital,FBO,Baringo,0.05388,35.7241
Cheptalal Sub-District Hospital,Sub-District Hospital,MoH,Bomet,-0.6015,35.3592
Kapkoros Sub-County Hospital,Sub-District Hospital,MoH,Bomet,-0.6569283,35.2995551
Kaplong Hospital,Mission Hospital,FBO,Bomet,-0.6831,35.1409
Longisa District Hospital,District Hospital,MoH,Bomet,-0.8579,35.3894
Sigor Sub-District Hospital,Sub-District Hospital,MoH,Bomet,-0.9167,35.2989
Tenwek Mission Hospital,Mission Hospital,FBO,Bomet,-0.7442,35.3593
Bokoli Hospital,Hospital,MoH,Bungoma,0.71026,34.66171
Bungoma County Referal Hospital,County Referral Hospital,MoH,Bungoma,0.5755,34.5594
Cheptais Sub District Hospital,Sub-District Hospital,MoH,Bungoma,0.8124,34.4656
Chwele Sub District Hospital,Sub-District Hospital,MoH,Bungoma,0.7344,34.5779
Dreamland MC Hospital,Mission Hospital,FBO,Bungoma,0.80792,34.69675
Kimilili District Hospital,District Hospital,MoH,Bungoma,0.789,34.7128
Lugulu Friends Mission Hospital,Mission Hospital,FBO,Bungoma,0.6613,34.7528
Lumboka Memorial Hospital,Hospital,MoH,Bungoma,0.56789,34.56386
Mt Elgon District Hospital,District Hospital,MoH,Bungoma,0.845,34.7129
Naitiri Sub-District Hospital,Sub-District Hospital,MoH,Bungoma,0.7563,34.8908
Sirisia Hospital,Hospital,MoH,Bungoma,0.7539,34.5091
Webuye Sub District Hospital,Sub-District Hospital,MoH,Bungoma,0.61302,34.7644
Alupe Sub-District Hospital,Sub-District Hospital,MoH,Busia,0.4972,34.1339
Busia District Hospital,District Hospital,MoH,Busia,0.4604,34.1045
Holy Family Nangina Hospital,Mission Hospital,FBO,Busia,0.2444,34.105
Khunyangu Sub-District Hospital,Sub-District Hospital,MoH,Busia,0.3377,34.2579
Port Victoria Hospital,Hospital,MoH,Busia,0.0972,33.9758
Sio Port District Hospital,District Hospital,MoH,Busia,0.2251,34.0213
Teso North Sub-County Hospital,Sub-District Hospital,MoH,Busia,0.6225,34.3448
Chebiemit District Hospital,District Hospital,MoH,Elgeyo Marakwet,0.85334,35.50237
Iten District Hospital,District Hospital,MoH,Elgeyo Marakwet,0.6703,35.5075
Kamwosor Sub-District Hospital,Sub-District Hospital,MoH,Elgeyo Marakwet,0.2026,35.5683
Kapsowar AIC Hospital,Mission Hospital,FBO,Elgeyo Marakwet,0.9811,35.5608
Kaptarakwa Sub-District Hospital,Sub-District Hospital,MoH,Elgeyo Marakwet,0.4658,35.5406
Kocholwo Sub-District Hospital,Sub-District Hospital,MoH,Elgeyo Marakwet,0.226,35.6604
Tambach Sub-District Hospital,Sub-District Hospital,MoH,Elgeyo Marakwet,0.5953,35.5223
Tot Sub-District Hospital,Sub-District Hospital,MoH,Elgeyo Marakwet,1.2088,35.6563
Consolata Kyeni Hospital,Mission Hospital,FBO,Embu,-0.4128,37.5878
Embu Provincial General Hospital,Provincial General Hospital,MoH,Embu,-0.5368,37.4518
Ishiara Sub-District Hospital,Sub-District Hospital,MoH,Embu,-0.4522,37.789
Kianjokoma Sub-District Hospital,Sub-District Hospital,MoH,Embu,-0.39709,37.5016
Mbeere District Hospital,District Hospital,MoH,Embu,-0.576883,37.6420147
Runyenjes District Hospital,District Hospital,MoH,Embu,-0.4245,37.5706
Balambala Sub-District Hospital,Sub-District Hospital,MoH,Garissa,-0.0417,39.0623
Dadaab Sub-District Hospital,Sub-District Hospital,MoH,Garissa,0.06,40.3147
Dagahaley Hospital,Hospital,NGO,Garissa,-0.19,40.2967
Garissa Provincial General Hospital,Provincial General Hospital,MoH,Garissa,-0.4278,39.644
Hagadera Hospital,Hospital,NGO,Garissa,0.0107,40.3715
Hulugho Sub-District Hospital,Sub-District Hospital,MoH,Garissa,-1.1474,41.0514
Ifo 2 Hospital,Hospital,NGO,Garissa,0.1076,40.3051
Iftin Sub-District Hospital,Sub-District Hospital,MoH,Garissa,-0.4732,39.6559
Ijara District Hospital,District Hospital,MoH,Garissa,-1.5957,40.5143
Modogashe Sub-County Hospital,Sub-District Hospital,MoH,Garissa,0.7323,39.1761
Gendia Mission Hospital,Mission Hospital,FBO,Homa Bay,-0.4013,34.66446
Homa Bay County Teaching and Referral Hospital,County Referral Hospital,MoH,Homa Bay,-0.5305,34.4606
Kabondo Sub-District Hospital,Sub-District Hospital,MoH,Homa Bay,-0.42077,34.87435
Kandiege Sub-District Hospital,Sub-District Hospital,MoH,Homa Bay,-0.4267,34.553
Kendu Adventist Hospital,Mission Hospital,FBO,Homa Bay,-0.4013917,34.6643683
Kendu Sub-District Hospital,Sub-District Hospital,MoH,Homa Bay,-0.3695,34.6504
Kisegi Sub-District Hospital,Sub-District Hospital,MoH,Homa Bay,-0.646519,34.0575
Marindi Sub county Hospital,Sub-District Hospital,MoH,Homa Bay,-0.6484,34.5187
Mbita District Hospital,District Hospital,MoH,Homa Bay,-0.42249,34.20819
Ndhiwa Sub-District Hospital,Sub-District Hospital,MoH,Homa Bay,-0.7317,34.367
Ogongo Sub-District Hospital,Sub-District Hospital,MoH,Homa Bay,-0.5739508,34.3708147
Rachuonyo District Hospital,District Hospital,MoH,Homa Bay,-0.5031,34.7323
Rangwe Sub-District Hospital,Sub-District Hospital,MoH,Homa Bay,-0.5947,34.5831
Suba District Hospital,District Hospital,MoH,Homa Bay,-0.588771,34.16246
Garbatulla District Hospital,District Hospital,MoH,Isiolo,0.5348,38.5188
Isiolo District Hospital,District Hospital,MoH,Isiolo,0.3648,37.5888
Kajiado District Hospital,District Hospital,MoH,Kajiado,-2.9243,37.5049
Kenyatta National Hospital Ongata Rongai,Hospital,MoH,Kajiado,-1.3962,36.7919
Loitokitok District Hospital,District Hospital,MoH,Kajiado,-2.9277,37.5093
Ngong Rapha Hospital,Mission Hospital,FBO,Kajiado,-1.3476507,36.637255
Ngong Sub-District Hospital,Sub-District Hospital,MoH,Kajiado,-1.3652,36.6542
Sucos Hospital,Hospital,NGO,Kajiado,-1.5938822,36.9082484
Ahmadiya Hospital,Mission Hospital,FBO,Kakamega,0.3141,34.5757
Butere District Hospital,District Hospital,MoH,Kakamega,0.2202425,34.4991521
Iguhu District Hospital,District Hospital,MoH,Kakamega,0.1661,34.7451
Jumia Hospital,Mission Hospital,FBO,Kakamega,0.2617124,34.7495909
Kakamega Provincial General Hospital,Provincial General Hospital,MoH,Kakamega,0.275,34.7588
Likuyani Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.7108,35.1069
Lumakanda Sub County Hospital,Sub-District Hospital,MoH,Kakamega,0.6348,34.9762
Malava District Hospital,District Hospital,MoH,Kakamega,0.4487,34.8539
Manyala Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.1604,34.4526
Matunda Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.8257,35.11558
Matungu Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.3872,34.4763
Mautuma Sub County Hospital,Sub-District Hospital,MoH,Kakamega,0.7248,34.9817
Mukumu Hospital,Mission Hospital,FBO,Kakamega,0.2158,34.7684
Mumias St Mary's Hospital,Mission Hospital,FBO,Kakamega,0.3268,34.499
Mwihila Mission Hospital,Mission Hospital,FBO,Kakamega,0.1783022,34.6124
Navakholo Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.4139,34.6826
Shibwe Sub-District Hospital,Sub-District Hospital,MoH,Kakamega,0.2058,34.7231
Forttenan Sub District Hospital,Sub-District Hospital,MoH,Kericho,-0.14054,35.344096
Kapkatet District Hospital,District Hospital,MoH,Kericho,-0.6297518,35.1962267
Kericho District Hospital,District Hospital,MoH,Kericho,-0.369,35.2794
Kipchimchim Mission Hospital,Mission Hospital,FBO,Kericho,-0.3291,35.2682
