name,ftype,tier,lat,lon
Arochukwu General Hospital,General Hospital,Tier3 provincial hospital,5.388156,7.912275
Ndi Ememe Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,5.566954,7.738429
Umuawa Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,5.268207,7.422273
Borrong Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,9.54156967,12.17257332
Fufore Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,9.222925,12.64969
Ganye II General Hospital,General Hospital,Tier3 provincial hospital,8.435606,12.062044
Garkida General Hospital,General Hospital,Tier3 provincial hospital,10.83709,13.55645
Gombi Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,10.154731,12.732637
Gulak Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,10.804845,13.451407
Guyugk Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,9.906585,11.929256
Hong Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,10.227756,12.927626
Madagali Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,10.88638,13.63
Mayo-Balewa Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,9.05667,12.06272
Michika General Hospital,General Hospital,Tier3 provincial hospital,10.699103,13.312478
Mubi General Hospital,General Hospital,Tier3 provincial hospital,10.266442,13.267159
Sabon Pegi General Hospital,General Hospital,Tier3 provincial hospital,9.46262947,12.0344566
Song Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,9.8193,12.62079
Akai Ubium Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.709605,8.006206
Asong Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.64495,7.8204
Awa Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,4.66485,7.83272
Ekpene Obo Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,4.863255,7.832774
Essene Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,4.639947,7.648483
Etinan General Hospital,General Hospital,Tier3 provincial hospital,4.80563,7.840121
