shapeName,cstate,deaths_yr,adeq,gap_deaths,nearest_km,priority,version,plan_dated,note
Gaya,BIHAR,386.6,0.65,135.3,33.7,226.49275662040336,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Pashchim Champaran,BIHAR,353.3,0.65,123.6,35.1,210.3921384638388,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Purba Champaran,BIHAR,463.3,0.65,162.1,14.6,209.4390131281165,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Madhubani,BIHAR,417.5,0.65,146.1,16.7,195.0166125559994,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Patna,BIHAR,421.2,0.65,147.4,15.5,193.03823956107678,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Samastipur,BIHAR,395.8,0.65,138.5,18.3,189.28584346139507,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Purnia,BIHAR,292.4,0.65,102.3,35.2,174.29191902974702,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Muzaffarpur,BIHAR,429.9,0.65,150.5,7.3,172.42154255141259,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Rohtas,BIHAR,257.7,0.65,90.2,45.6,172.3900733812653,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Darbhanga,BIHAR,355.0,0.65,124.3,18.8,170.97235610963895,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
